Permission,Short Description,Android Protection Level,Deprecated?,Hidden?,Permission Group,PII Accessed?,PII Type,API Methods,Special Notes,Long Description
MANAGE_DEBUGGING,Allows an application to manage Android Debug Bridge settings.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows an application to manage Android Debug Bridge settings.
MANAGE_DEVICE_ADMINS,Required to add or remove another application as a device admin.,Not for use by 3rd-parties | Signature,Yes,Yes,NONE (private permissions),,,,System API.,Required to add or remove another application as a device admin.
MANAGE_DOCUMENTS,"Allows an application to manage access to documents, usually as part of a document picker.",This permission should only be requested by the platform document management app | This permission cannot be granted to 3rd-parties | Signature | documenter,No,No,NONE (sdcard),,,,,"Allows an application to manage access to documents, usually as part of a document picker."
MANAGE_DYNAMIC_SYSTEM,Allows an application to manage DynamicSystem image.,Signature,No,Yes,NONE (hardware),,,,,Allows an application to manage DynamicSystem image.
MANAGE_FINGERPRINT,"llows managing (adding, removing) fingerprint templates.",Reserved for the system | Signature | privileged,No,Yes,NONE (private permissions),,,,,"llows managing (adding, removing) fingerprint templates."
MANAGE_IPSEC_TUNNELS,Allows apps to create and manage IPsec tunnels.,Only granted to applications that are currently bound by the system for creating and managing IPsec-based interfaces | Signature | appop,No,Yes,NONE (network),,,,System API.,Allows apps to create and manage IPsec tunnels.
MANAGE_LOWPAN_INTERFACES,Allows a service to register or unregister new LoWPAN interfaces.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows a service to register or unregister new LoWPAN interfaces.
MANAGE_MEDIA_PROJECTION,Allows an application to manage media projection sessions.,Not for use by 3rd-patries | Signature,No,Yes,NONE (private permissions),,,,Intended for system apps.,Allows an application to manage media projection sessions.
MANAGE_NETWORK_POLICY,Allows an application to manage network policies (such as warning and disable limits) and to define application-specific rules.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to manage network policies (such as warning and disable limits) and to define application-specific rules.
MANAGE_NOTIFICATIONS,Allows modification of do not disturb rules and policies.,Only allowed for system processes | Signature,No,Yes,NONE (private permissions),,,,,Allows modification of do not disturb rules and policies. Only allowed for system processes.
MANAGE_OWN_CALLS,Allows a calling application which manages it own calls through the self-managed ConnectionService APIs.,Normal,No,No,NONE (PHONE),,,,,Allows a calling application which manages it own calls through the self-managed ConnectionService APIs. See PhoneAccount.CAPABILITY_SELF_MANAGED for more information on the self-managed ConnectionService APIs.
MANAGE_PROFILE_AND_DEVICE_OWNERS,Allows an application to set the profile owners and the device owner.,Not for use by 3rd-patries | Signature,No,Yes,NONE (access other apps),,,,,Allows an application to set the profile owners and the device owner.
MANAGE_ROLE_HOLDERS,Allows an application to manage the holders of a role.,Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage the holders of a role.
MANAGE_ROLLBACKS,Allows managing apk level rollbacks.,Signature | verifier,No,Yes,NONE (private permissions),,,,System API. Test API.,Allows managing apk level rollbacks.
MANAGE_SCOPED_ACCESS_DIRECTORY_PERMISSIONS,Allows an application to change the status of Scoped Access Directory requests granted or rejected by the user.,This permission should only be requested by the platform settings app | This permission cannot be granted to 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows an application to change the status of Scoped Access Directory requests granted or rejected by the user.
MANAGE_SENSOR_PRIVACY,Allows sensor privacy to be modified.,Signature,No,Yes,NONE (private permissions),,,,System API.,Allows sensor privacy to be modified.
MANAGE_SENSORS,Allows internal management of the sensor framework.,Signature,No,Yes,NONE (telephony),,,,,Allows internal management of the sensor framework.
MANAGE_SLICE_PERMISSIONS,Allows sysui to manage user grants of slice permissions.,Signature,No,Yes,NONE (private permissions),,,,,Allows sysui to manage user grants of slice permissions.
MANAGE_SOUND_TRIGGER,Must be required by system/priv apps when accessing the sound trigger APIs given by SoundTriggerManager.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Must be required by system/priv apps when accessing the sound trigger APIs given by SoundTriggerManager.
MANAGE_SUBSCRIPTION_PLANS,Allows an application to manage carrier subscription plans.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to manage carrier subscription plans.
MANAGE_TEST_NETWORKS,Allows apps to create and manage Test Networks.,Granted only to shell | Signature,No,Yes,NONE (network),,,,CTS tests will use UiAutomation.AdoptShellPermissionIdentity() to gain access.,Allows apps to create and manage Test Networks.
MANAGE_USB,Allows an application to manage preferences and permissions for USB devices.,Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows an application to manage preferences and permissions for USB devices.
MANAGE_USER_OEM_UNLOCK_STATE,Allows reading and enabling/disabling the OEM unlock allowed by user state.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows reading and enabling/disabling the OEM unlock allowed by user state.
MANAGE_USERS,Allows an application to call APIs that allow it to query and manage users on the device.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (access other apps),,,,System API.,Allows an application to call APIs that allow it to query and manage users on the device.
MANAGE_VOICE_KEYPHRASES,"Must be required by hotword enrollment application, to ensure that only the system can interact with it.",Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,,"Must be required by hotword enrollment application, to ensure that only the system can interact with it."
MANAGE_WIFI_WHEN_WIRELESS_CONSENT_REQUIRED,Allows internal management of Wi-Fi connectivity state when on wireless consent mode.,Not for use by 3rd-parties | Signature,No,Yes,NONE (network),,,,,Allows internal management of Wi-Fi connectivity state when on wireless consent mode.
MASTER_CLEAR,Not for use by third-party applications.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,Not for use by third-party applications.
MEDIA_CONTENT_CONTROL,Allows an application to know what content is playing and control its playback.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,Not for use by third-party applications due to privacy of media consumption.,Allows an application to know what content is playing and control its playback.
MODIFY_ACCESSIBILITY_DATA,Allows an application to modify accessibility information from another app.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to modify accessibility information from another app.
MODIFY_APPWIDGET_BIND_PERMISSIONS,Internal permission allowing an application to query/set which applications can bind AppWidgets.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Internal permission allowing an application to query/set which applications can bind AppWidgets.
MODIFY_AUDIO_ROUTING,Allows an application to modify audio routing and override policy decisions.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,System API.,Allows an application to modify audio routing and override policy decisions.
MODIFY_AUDIO_SETTINGS,Allows an application to modify global audio settings.,Normal,No,No,NONE (audio),,,,,Allows an application to modify global audio settings.
MODIFY_CELL_BROADCASTS,Allows an application to modify cell broadcasts through the content provider.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (install permission),,,,System API.,Allows an application to modify cell broadcasts through the content provider.
MODIFY_DAY_NIGHT_MODE,"Allows changing day / night mode when system is configured with config_lockDayNightMode set to true. If requesting app does not have permission, it will be ignored.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows changing day / night mode when system is configured with config_lockDayNightMode set to true. If requesting app does not have permission, it will be ignored."
MODIFY_DEFAULT_AUDIO_EFFECTS,Allows an application to modify what effects are applied to all audio (matching certain criteria) from any application.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to modify what effects are applied to all audio (matching certain criteria) from any application.
MODIFY_NETWORK_ACCOUNTING,Use UPDATE_DEVICE_STATS instead.,Signature | privileged,Yes,Yes,NONE (private permissions),,,,System API.,Use UPDATE_DEVICE_STATS instead.
MODIFY_PARENTAL_CONTROLS,Allows an application to modify parental controls.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to modify parental controls.
MODIFY_PHONE_STATE,"Allows modification of the telephony state - power on, mmi, etc.",Not for use by 3rd-parties | Signature | privileged,No,No,NONE (telephony),,,,,"Allows modification of the telephony state - power on, mmi, etc. Does not include placing calls."
MODIFY_QUIET_MODE,Allows an application to turn on / off quiet mode.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to turn on / off quiet mode.
MODIFY_THEME_OVERLAY,Allows an app to set the theme overlay in /vendor/overlay being used.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Allows an app to set the theme overlay in /vendor/overlay being used.
MONITOR_DEFAULT_SMS_PACKAGE,Permission that protects the android.provider.Telephony.Intents#ACTION_DEFAULT_SMS_PACKAGE_CHANGED_INTERNAL broadcast.,Signature | privileged,No,Yes,NONE (private permissions),,,,,Permission that protects the android.provider.Telephony.Intents#ACTION_DEFAULT_SMS_PACKAGE_CHANGED_INTERNAL broadcast.
MONITOR_INPUT,Allows input events to be monitored. Very dangerous!,Signature,No,Yes,NONE (private permissions),,,,,Allows input events to be monitored. Very dangerous!
MOUNT_FORMAT_FILESYSTEMS,Allows formatting file systems for removable storage.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (low-level system),,,,,Allows formatting file systems for removable storage.
MOUNT_UNMOUNT_FILESYSTEMS,Allows mounting and unmounting file systems for removable storage.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (low-level system),,,,,Allows mounting and unmounting file systems for removable storage.
MOVE_PACKAGE,Allows an application to move location of installed package.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to move location of installed package.
NET_ADMIN,"Allows access to configure network interfaces, configure/use IPSec, etc.",Signature,No,Yes,NONE (hardware),,,,,"Allows access to configure network interfaces, configure/use IPSec, etc."
NET_TUNNELING,Allows low-level access to tun tap driver.,Signature,No,Yes,NONE (private permissions),,,,,Allows low-level access to tun tap driver.
NETWORK_BYPASS_PRIVATE_DNS,Allows an app to bypass Private DNS.,Not for use by 3rd-parties | Signature,No,Yes,NONE (network),,,,System API.,Allows an app to bypass Private DNS.
NETWORK_CARRIER_PROVISIONING,Allows Carrier Provisioning to call methods in Networking services. This should only be used by CarrierProvisioning.,Not for use by any other 3rd-parties or privileged applications | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows Carrier Provisioning to call methods in Networking services. This should only be used by CarrierProvisioning.
NETWORK_MANAGED_PROVISIONING,Allows Managed Provisioning to call methods in Networking services. This should only be used by ManagedProvisioning app.,Not for use by any other 3rd-parties or privileged applications | Signature,No,Yes,NONE (network),,,,System API.,Allows Managed Provisioning to call methods in Networking services. This should only be used by ManagedProvisioning app.
NETWORK_SCAN,Allows the app to request network scans from telephony.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (telephony),,,,System API.,Allows the app to request network scans from telephony.
NETWORK_SETTINGS,Allows Settings and SystemUI to call methods in Networking services. This should only be used by Settings and SystemUI.,Not for use by 3rd-parties or privileged applications | Signature,No,Yes,NONE (network),,,,,Allows Settings and SystemUI to call methods in Networking services. This should only be used by Settings and SystemUI.
NETWORK_SETUP_WIZARD,Allows SetupWizard to call methods in Networking services. This should only be used by SetupWizard.,Not for use by any other 3rd-parties or privileged applications | Signature | setup,No,Yes,NONE (network),,,,System API.,Allows SetupWizard to call methods in Networking services. This should only be used by SetupWizard.
NETWORK_SIGNAL_STRENGTH_WAKEUP,Allows an internal user to set signal strength in NetworkRequest. This kind of request will wake up device when signal strength meets the given value.,Signature | privileged,No,Yes,NONE (peripheral),,,,System API.,Allows an internal user to set signal strength in NetworkRequest. This kind of request will wake up device when signal strength meets the given value.
NETWORK_STACK,Allows network stack services (Connectivity and Wifi) to coordinate. This should only be used by Connectivity and Wifi Services.,Not for use by 3rd-parties or privileged applications | Signature,No,Yes,NONE (network),,,,,Allows network stack services (Connectivity and Wifi) to coordinate. This should only be used by Connectivity and Wifi Services.
NFC,Allows applications to perform I/O operations over NFC.,Normal,No,No,NONE (peripheral),,,,,Allows applications to perform I/O operations over NFC.
NFC_HANDOVER_STATUS,Allows sending and receiving handover transfer status from Wifi and Bluetooth.,Signature | privileged,No,Yes,NONE (peripheral),,,,,Allows sending and receiving handover transfer status from Wifi and Bluetooth.
NFC_TRANSACTION_EVENT,Allows applications to receive NFC transaction events.,Normal,No,No,NONE (peripheral),,,,,Allows applications to receive NFC transaction events.
NOTIFICATION_DURING_SETUP,Allows an application to show notifications before the device is provisioned.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to show notifications before the device is provisioned.
NOTIFY_PENDING_SYSTEM_UPDATE,Allows system update service to notify device owner about pending updates.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,,Allows system update service to notify device owner about pending updates.
NOTIFY_TV_INPUTS,Allows an application to notify TV inputs by sending broadcasts.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to notify TV inputs by sending broadcasts.
OBSERVE_APP_USAGE,"Allows an application to observe usage time of apps. The app can register for callbacks when apps reach a certain usage time limit, etc.",Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,"Allows an application to observe usage time of apps. The app can register for callbacks when apps reach a certain usage time limit, etc."
OBSERVE_GRANT_REVOKE_PERMISSIONS,Allows an application to observe permission changes.,Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows an application to observe permission changes.
OBSERVE_ROLE_HOLDERS,Allows an application to observe role holder changes.,Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to observe role holder changes.
OEM_UNLOCK_STATE,Allows enabling/disabling OEM unlock.,Not for use by 3rd-parties | Signature,No,Yes,NONE (hardware),,,,,Allows enabling/disabling OEM unlock.
OPEN_ACCESSIBILITY_DETAILS_SETTINGS,Allows an application to launch detail settings activity of a particular accessibility service.,Not for use by 3rd-parties | Signature | installer,No,Yes,NONE (private permissions),,,,System API.,Allows an application to launch detail settings activity of a particular accessibility service.
OPEN_APP_OPEN_BY_DEFAULT_SETTINGS,"Allows an application to directly open the ""Open by default"" page inside a package's Details screen.",Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,"Allows an application to directly open the ""Open by default"" page inside a package's Details screen."
OVERRIDE_WIFI_CONFIG,"Allows an application to modify any wifi configuration, even if created by another application. Once reconfigured the original creator cannot make any further modifications.",Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,"Allows an application to modify any wifi configuration, even if created by another application. Once reconfigured the original creator cannot make any further modifications."
PACKAGE_ROLLBACK_AGENT,Rollback manager needs to have this permission before the PackageManager will trust it to enable rollback.,Signature,No,Yes,NONE (private permissions),,,,,Rollback manager needs to have this permission before the PackageManager will trust it to enable rollback.
PACKAGE_USAGE_STATS,Allows an application to collect component usage statistics; Declaring the permission implies intention to use the API and the user of the device can grant permission through the Settings application.,Signature | privileged | development | appop,No,No,NONE (private permissions),,,,Declaring the permission implies intention to use the API and the user of the device can grant permission through the Settings application.,Allows an application to collect component usage statistics. 
PACKAGE_VERIFICATION_AGENT,Package verifier needs to have this permission before the PackageManager will trust it to verify packages.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Package verifier needs to have this permission before the PackageManager will trust it to verify packages.
PACKET_KEEPALIVE_OFFLOAD,Allows a system application to access hardware packet offload capabilities.,Signature | privileged,No,Yes,NONE (peripheral),,,,System API.,Allows a system application to access hardware packet offload capabilities.
PEERS_MAC_ADDRESS,Allows access to MAC addresses of WiFi and Bluetooth peer devices.,Signature | setup,No,Yes,NONE (private permissions),,,,System API.,Allows access to MAC addresses of WiFi and Bluetooth peer devices.
PERFORM_CDMA_PROVISIONING,Allows an application to perform CDMA OTA provisioning.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to perform CDMA OTA provisioning.
PERFORM_SIM_ACTIVATION,Allows an application to perform SIM Activation.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to perform SIM Activation.
PERSISTENT_ACTIVITY,This constant was deprecated in API level 15. This functionality will be removed in the future; please do not use. Allow an application to make its activities persistent.,Normal,Yes,No,NONE (low-level system),,,,,This constant was deprecated in API level 15. This functionality will be removed in the future; please do not use. Allow an application to make its activities persistent.
POWER_SAVER,Allows toggling battery saver on the system. Superseded by DEVICE_POWER permission.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows toggling battery saver on the system. Superseded by DEVICE_POWER permission.
PROCESS_OUTGOING_CALLS,This constant was deprecated in API level 29. Applications should use CallRedirectionService instead of the Intent.ACTION_NEW_OUTGOING_CALL broadcast.,Dangerous,Yes,No,UNDEFINED (CALL_LOG),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether.
PROVIDE_RESOLVER_RANKER_SERVICE,Must be held by services that extend android.service.resolver.ResolverRankerService.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Must be held by services that extend android.service.resolver.ResolverRankerService.
PROVIDE_TRUST_AGENT,Allows an application to provide a trust agent.,This is a platform-only permission | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to provide a trust agent.
QUERY_DO_NOT_ASK_CREDENTIALS_ON_BOOT,Allows an application to query whether DO_NOT_ASK_CREDENTIALS_ON_BOOT flag is set.,Signature,No,Yes,NONE (private permissions),,,,,Allows an application to query whether DO_NOT_ASK_CREDENTIALS_ON_BOOT flag is set.
QUERY_TIME_ZONE_RULES,Allows an application to query the current time zone rules state on device.,Signature | privileged,No,Yes,NONE (low-level system),,,,System API.,Allows an application to query the current time zone rules state on device.
READ_BLOCKED_NUMBERS, Allows the holder to read blocked numbers. See android.provider.BlockedNumberContract.,Signature,No,Yes,NONE (private permissions),,,,, Allows the holder to read blocked numbers. See android.provider.BlockedNumberContract.
READ_CALENDAR,Allows an application to read the user's calendar data.,Dangerous,No,No,UNDEFINED (CALENDAR),,,,,Allows an application to read the user's calendar data.
READ_CALL_LOG,Allows an application to read the user's call log.,Dangerous,No,No,UNDEFINED (CALL_LOG),,,,"If your app uses the READ_CONTACTS permission and both your minSdkVersion and targetSdkVersion values are set to 15 or lower, the system implicitly grants your app this permission. If you don't need this permission, be sure your targetSdkVersion is 16 or higher. This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).",Allows an application to read the user's call log.
READ_CELL_BROADCAST,Allows an application to read previously received cell broadcast messages and to register a content observer to get notifications when a cell broadcast has been received and added to the database.,Dangerous,No,Yes (Pending API council approval),UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set). System API. Test API,"Allows an application to read previously received cell broadcast messages and to register a content observer to get notifications when a cell broadcast has been received and added to the database. For emergency alerts, the database is updated immediately after the alert dialog and notification sound/vibration/speech are presented. The ""read"" column is then updated after the user dismisses the alert. This enables supplementary emergency assistance apps to start loading additional emergency information (if Internet access is available) when the alert is first received, and to delay presenting the info to the user until after the initial alert dialog is dismissed."
READ_CLIPBOARD_IN_BACKGROUND,Permission that allows background clipboard access.,Not for use by 3rd-parties | Signature,No,Yes,NONE (private permissions),,,,,Permission that allows background clipboard access.
READ_CONTACTS,Allows an application to read the user's contacts data.,Dangerous,No,No,UNDEFINED (CONTACTS),,,,,Allows an application to read the user's contacts data.
READ_CONTENT_RATING_SYSTEMS,Allows an application to read TvContentRatingSystemInfo.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to read TvContentRatingSystemInfo.
READ_DEVICE_CONFIG,Allows an application to read config settings.,Not for use by 3rd-parties | Signature | preinstalled,No,Yes,NONE (low-level system),,,,System API.,Allows an application to read config settings.
READ_DREAM_STATE,Allows applications to read dream settings and dream state.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows applications to read dream settings and dream state.
READ_EXTERNAL_STORAGE,Allows an application to read from external storage.,Dangerous,No,No,UNDEFINED (STORAGE),,,,"Any app that declares the WRITE_EXTERNAL_STORAGE permission is implicitly granted this permission. This permission is enforced starting in API level 19. Before API level 19, this permission is not enforced and all apps still have access to read from external storage. You can test your app with the permission enforced by enabling Protect USB storage under Developer options in the Settings app on a device running Android 4.1 or higher. Also starting in API level 19, this permission is not required to read/write files in your application-specific directories returned by Context.getExternalFilesDir(String) and Context.getExternalCacheDir(). If both your minSdkVersion and targetSdkVersion values are set to 3 or lower, the system implicitly grants your app this permission. If you don't need this permission, be sure your targetSdkVersion is 4 or higher. This is a soft restricted permission which cannot be held by an app it its full form until the installer on record whitelists the permission. Specifically, if the permission is whitelisted the holder app can access external storage and the visual and aural media collections while if the permission is not whitelisted the holder app can only access to the visual and aural medial collections. Also the permission is immutably restricted meaning that the whitelist state can be specified only at install time and cannot change until the app is installed. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).",Allows an application to read from external storage. 
READ_FRAME_BUFFER,Allows an application to take screen shots and more generally get access to the frame buffer data.,Not for use by 3rd-parties | Signature,Yes,Yes,NONE (private permissions),,,,,Allows an application to take screen shots and more generally get access to the frame buffer data.
READ_HISTORY_BOOKMARKS,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
READ_INPUT_STATE,This constant was deprecated in API level 16. The API that used this permission has been removed.,Not for use by 3rd-parties | Signature,Yes,No,NONE (private permissions),,,,,Allows an application to retrieve the current state of keys and switches.
READ_INSTALL_SESSIONS,Allows an application to read install sessions.,Not for use by 3rd-parties | Normal,Yes,No,NONE (private permissions),,,,Intended for system apps. System API.,
READ_LOGS,Allows an application to read the low-level system log files.,Not for use by 3rd-parties | Signature | privileged | development,No,No,NONE (special dev tools),,,,Log entries can contain the user's private information.,Allows an application to read the low-level system log files.
READ_LOWPAN_CREDENTIAL,Allows applications to read LoWPAN credential.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to read LoWPAN credential.
READ_NETWORK_USAGE_HISTORY,Allows an application to read historical network usage for specific networks and applications.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to read historical network usage for specific networks and applications.
READ_OEM_UNLOCK_STATE,Allows reading the OEM unlock state.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (hardware),,,,System API.,Allows reading the OEM unlock state.
READ_PHONE_NUMBERS,Allows read access to the device's phone number(s).,Dangerous | instant,No,No,UNDEFINED (PHONE),,,,,Allows read access to the device's phone number(s). This is a subset of the capabilities granted by READ_PHONE_STATE but is exposed to instant applications.
READ_PHONE_STATE,"Allows read only access to phone state, including the phone number of the device, current cellular network information, the status of any ongoing calls, and a list of any PhoneAccounts registered on the device.",Dangerous,No,No,UNDEFINED (PHONE),,,,"If both your minSdkVersion and targetSdkVersion values are set to 3 or lower, the system implicitly grants your app this permission. If you don't need this permission, be sure your targetSdkVersion is 4 or higher.","Allows read only access to phone state, including the phone number of the device, current cellular network information, the status of any ongoing calls, and a list of any PhoneAccounts registered on the device."
READ_PRECISE_PHONE_STATE,Allows read only access to precise phone state.,Signature | privileged,No,Yes (Pending API council approval),NONE (telephony),,,,,Allows read only access to precise phone state.
READ_PRINT_SERVICE_RECOMMENDATIONS,Allows applications to get the currently recommended print services for printers.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,System API.,Allows applications to get the currently recommended print services for printers.
READ_PRINT_SERVICES,Allows applications to get the installed and enabled print services.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,System API.,Allows applications to get the installed and enabled print services.
READ_PRIVILEGED_PHONE_STATE,Allows read access to privileged phone state.,Signature | privileged,No,Yes (Used internally),NONE (telephony),,,,System API.,Allows read access to privileged phone state.
READ_PROFILE,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
READ_RUNTIME_PROFILES,Allows an application to read the runtime profiles of other apps.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Allows an application to read the runtime profiles of other apps.
READ_SEARCH_INDEXABLES,Internal permission to allows an application to read indexable data.,Signature | privileged,No,Yes,NONE (private permissions),,,,System API.,Internal permission to allows an application to read indexable data.
READ_SMS,Allows an application to read SMS messages.,Dangerous,No,No,UNDEFINED (SMS),,,,This is a hard restricted permission which cannot be held by an app until the installer on record whitelists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set).,Allows an application to read SMS messages.
READ_SOCIAL_STREAM,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
READ_SYNC_SETTINGS,Allows applications to read the sync settings.,Normal,No,No,NONE (sync),,,,,Allows applications to read the sync settings.
READ_SYNC_STATS,Allows applications to read the sync stats.,Normal,No,No,NONE (sync),,,,,Allows applications to read the sync stats.
READ_SYSTEM_UPDATE_INFO,Allows an application to read system update info.,Signature,No,Yes,NONE (low-level system),,,,System API.,Allows an application to read system update info.
READ_USER_DICTIONARY,Removed,Normal,Yes,Yes (We need to keep this around for backwards compatibility),NONE,,,,,Removed
READ_VOICEMAIL,Allows an application to read voicemails in the system.,Signature | privileged,No,No,NONE (voicemail),,,,,Allows an application to read voicemails in the system.
READ_WALLPAPER_INTERNAL,Allow the app to read the system wallpaper image without holding the READ_EXTERNAL_STORAGE permission.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (wallpaper),,,,System API.,Allow the app to read the system wallpaper image without holding the READ_EXTERNAL_STORAGE permission.
READ_WIFI_CREDENTIAL,Allows applications to read Wi-Fi credential.,Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (network),,,,System API.,Allows applications to read Wi-Fi credential.
REAL_GET_TASKS,New version of GET_TASKS that apps can request.,Signature | privileged,No,Yes,NONE (access other apps),,,,System API.,"New version of GET_TASKS that apps can request, since GET_TASKS doesn't really give access to task information.  We need this new one because there are many existing apps that use add libraries and such that have validation code to ensure the app has requested the GET_TASKS permission by seeing if it has been granted the permission...  if it hasn't, it kills the app with a message about being upset.  So we need to have it continue to look like the app is getting that permission, even though it will never be checked, and new privileged apps can now request this one for real access."
REBOOT,Required to be able to reboot the device.,Not for use by 3rd-parties | Signature | privileged,No,No,NONE (private permissions),,,,,Required to be able to reboot the device.
RECEIVE_BLUETOOTH_MAP,"Allows an application to monitor incoming Bluetooth MAP messages, to record or perform processing on them.",Signature | privileged,No,Yes,NONE (install permission),,,,,
RECEIVE_BOOT_COMPLETED,Allows an application to receive the Intent.ACTION_BOOT_COMPLETED that is broadcast after the system finishes booting.,Normal,No,No,NONE (low-level system),,,,,"Allows an application to receive the Intent.ACTION_BOOT_COMPLETED that is broadcast after the system finishes booting. If you don't request this permission, you will not receive the broadcast at that time. Though holding this permission does not have any security implications, it can have a negative impact on the user experience by increasing the amount of time it takes the system to start and allowing applications to have themselves running without the user being aware of them. As such, you must explicitly declare your use of this facility to make that visible to the user."
RECEIVE_DATA_ACTIVITY_CHANGE,None,System | privileged,No,Yes,NONE (peripheral),,,,System API.,None
RECEIVE_DEVICE_CUSTOMIZATION_READY,Permission that protects the Intent#ACTION_DEVICE_CUSTOMIZATION_READY intent.,Signature | preinstalled,No,Yes,NONE (private permissions),,,,System API.,Permission that protects the Intent#ACTION_DEVICE_CUSTOMIZATION_READY intent.
RECEIVE_EMERGENCY_BROADCAST,"Allows an application to receive emergency cell broadcast messages, to record or display them to the user.",Not for use by 3rd-parties | Signature | privileged,No,Yes,NONE (install permission),,,,System API.,"Allows an application to receive emergency cell broadcast messages, to record or display them to the user."
RECEIVE_MEDIA_RESOURCE_USAGE,Allows receiving the usage of media resource e.g. video/audio codec and graphic memory.,Signature | privileged,No,Yes,NONE (private permissions),,,,,Allows receiving the usage of media resource e.g. video/audio codec and graphic memory.
